No.;time;;time 1;time 2;Delay;;Delay 1;Delay 2;jitter
289;43,678962;;43,678962;43,678998;3,6E-05;;-0,00098;-0,018549;-0,017569
290;43,678998;;43,678998;43,680014;0,001016;;-0,018549;0,018525;0,037074
291;43,680014;;43,680014;43,699579;0,019565;;0,018525;0,000944;-0,017581
292;43,699579;;43,699579;43,700619;0,00104;;0,000944;-0,000231;-0,001175
293;43,700619;;43,700619;43,700715;9,6E-05;;-0,000231;6,1E-05;0,000292
294;43,700715;;43,700715;43,701042;0,000327;;6,1E-05;2,3E-05;-3,8E-05
295;43,701042;;43,701042;43,701308;0,000266;;2,3E-05;3,3E-05;1E-05
296;43,701308;;43,701308;43,701551;0,000243;;3,3E-05;2,7E-05;-6E-06
297;43,701551;;43,701551;43,701761;0,00021;;2,7E-05;2,7E-05;0
298;43,701761;;43,701761;43,701944;0,000183;;2,7E-05;-2E-05;-4,7E-05
299;43,701944;;43,701944;43,7021;0,000156;;-2E-05;3E-06;2,3E-05
300;43,7021;;43,7021;43,702276;0,000176;;3E-06;-1,3E-05;-1,6E-05
301;43,702276;;43,702276;43,702449;0,000173;;-1,3E-05;1,6E-05;2,9E-05
302;43,702449;;43,702449;43,702635;0,000186;;1,6E-05;5E-06;-1,1E-05
303;43,702635;;43,702635;43,702805;0,00017;;5E-06;-4E-06;-9E-06
304;43,702805;;43,702805;43,70297;0,000165;;-4E-06;-0,000221;-0,000217
305;43,70297;;43,70297;43,703139;0,000169;;-0,000221;7,4E-05;0,000295
306;43,703139;;43,703139;43,703529;0,00039;;7,4E-05;-5E-06;-7,9E-05
307;43,703529;;43,703529;43,703845;0,000316;;-5E-06;0,000141;0,000146
308;43,703845;;43,703845;43,704166;0,000321;;0,000141;5E-06;-0,000136
309;43,704166;;43,704166;43,704346;0,00018;;5E-06;-7E-06;-1,2E-05
310;43,704346;;43,704346;43,704521;0,000175;;-7E-06;2,7E-05;3,4E-05
311;43,704521;;43,704521;43,704703;0,000182;;2,7E-05;-4,8E-05;-7,5E-05
312;43,704703;;43,704703;43,704858;0,000155;;-4,8E-05;-0,169049;-0,169001
313;43,704858;;43,704858;43,705061;0,000203;;-0,169049;0,168777;0,337826
314;43,705061;;43,705061;43,874313;0,169252;;0,168777;-0,112187;-0,280964
315;43,874313;;43,874313;43,874788;0,000475;;-0,112187;0,112662;0,224849
316;43,874788;;43,874788;43,98745;0,112662;;0,112662;0;-0,112662
320;43,98745;;43,98745;43,98745;0;;0;0;0
321;43,98745;;43,98745;43,98745;0;;0;0;0
322;43,98745;;43,98745;43,98745;0;;0;0;0
323;43,98745;;43,98745;43,98745;0;;0;-0,000146;-0,000146
324;43,98745;;43,98745;43,98745;0;;-0,000146;0,000146;0,000292
325;43,98745;;43,98745;43,987596;0,000146;;0,000146;0;-0,000146
326;43,987596;;43,987596;43,987596;0;;0;0;0
327;43,987596;;43,987596;43,987596;0;;0;0;0
328;43,987596;;43,987596;43,987596;0;;0;-0,000197;-0,000197
329;43,987596;;43,987596;43,987596;0;;-0,000197;0,000197;0,000394
330;43,987596;;43,987596;43,987793;0,000197;;0,000197;0;-0,000197
331;43,987793;;43,987793;43,987793;0;;0;-6,6E-05;-6,6E-05
332;43,987793;;43,987793;43,987793;0;;-6,6E-05;6,6E-05;0,000132
333;43,987793;;43,987793;43,987859;6,6E-05;;6,6E-05;-0,014306;-0,014372
334;43,987859;;43,987859;43,987859;0;;-0,014306;0,014306;0,028612
335;43,987859;;43,987859;44,002165;0,014306;;0,014306;0;-0,014306
337;44,002165;;44,002165;44,002165;0;;0;0;0
338;44,002165;;44,002165;44,002165;0;;0;0;0
339;44,002165;;44,002165;44,002165;0;;0;0;0
340;44,002165;;44,002165;44,002165;0;;0;0;0
341;44,002165;;44,002165;44,002165;0;;0;-0,000114;-0,000114
342;44,002165;;44,002165;44,002165;0;;-0,000114;-0,019296;-0,019182
343;44,002165;;44,002165;44,002279;0,000114;;-0,019296;0,01941;0,038706
344;44,002279;;44,002279;44,021689;0,01941;;0,01941;-6,8E-05;-0,019478
349;44,021689;;44,021689;44,021689;0;;-6,8E-05;-0,000589;-0,000521
350;44,021689;;44,021689;44,021757;6,8E-05;;-0,000589;-0,043936;-0,043347
351;44,021757;;44,021757;44,022414;0,000657;;-0,043936;0,044593;0,088529
352;44,022414;;44,022414;44,067007;0,044593;;0,044593;-0,000287;-0,04488
353;44,067007;;44,067007;44,067007;0;;-0,000287;0,000287;0,000574
354;44,067007;;44,067007;44,067294;0,000287;;0,000287;0;-0,000287
355;44,067294;;44,067294;44,067294;0;;0;-0,000368;-0,000368
356;44,067294;;44,067294;44,067294;0;;-0,000368;0,000368;0,000736
357;44,067294;;44,067294;44,067662;0,000368;;0,000368;0;-0,000368
358;44,067662;;44,067662;44,067662;0;;0;0;0
359;44,067662;;44,067662;44,067662;0;;0;0;0
360;44,067662;;44,067662;44,067662;0;;0;0;0
361;44,067662;;44,067662;44,067662;0;;0;0;0
362;44,067662;;44,067662;44,067662;0;;0;0;0
363;44,067662;;44,067662;44,067662;0;;0;0;0
364;44,067662;;44,067662;44,067662;0;;0;0;0
365;44,067662;;44,067662;44,067662;0;;0;0;0
366;44,067662;;44,067662;44,067662;0;;0;0;0
367;44,067662;;44,067662;44,067662;0;;0;0;0
368;44,067662;;44,067662;44,067662;0;;0;0;0
369;44,067662;;44,067662;44,067662;0;;0;-0,000243;-0,000243
370;44,067662;;44,067662;44,067662;0;;-0,000243;-0,000491;-0,000248
371;44,067662;;44,067662;44,067905;0,000243;;-0,000491;-0,041425;-0,040934
373;44,067905;;44,067905;44,068639;0,000734;;-0,041425;0,042159;0,083584
374;44,068639;;44,068639;44,110798;0,042159;;0,042159;-0,000113;-0,042272
384;44,110798;;44,110798;44,110798;0;;-0,000113;-0,000439;-0,000326
385;44,110798;;44,110798;44,110911;0,000113;;-0,000439;0,000493;0,000932
386;44,110911;;44,110911;44,111463;0,000552;;0,000493;-0,000588;-0,001081
387;44,111463;;44,111463;44,111522;5,9E-05;;-0,000588;0,000647;0,001235
388;44,111522;;44,111522;44,112169;0,000647;;0,000647;-7,5E-05;-0,000722
390;44,112169;;44,112169;44,112169;0;;-7,5E-05;-0,000308;-0,000233
391;44,112169;;44,112169;44,112244;7,5E-05;;-0,000308;0,000331;0,000639
392;44,112244;;44,112244;44,112627;0,000383;;0,000331;-4,4E-05;-0,000375
393;44,112627;;44,112627;44,112679;5,2E-05;;-4,4E-05;-0,000311;-0,000267
394;44,112679;;44,112679;44,112775;9,6E-05;;-0,000311;0,000407;0,000718
395;44,112775;;44,112775;44,113182;0,000407;;0,000407;-5E-05;-0,000457
396;44,113182;;44,113182;44,113182;0;;-5E-05;-0,000508;-0,000458
397;44,113182;;44,113182;44,113232;5E-05;;-0,000508;0,000505;0,001013
398;44,113232;;44,113232;44,11379;0,000558;;0,000505;-0,04621;-0,046715
399;44,11379;;44,11379;44,113843;5,3E-05;;-0,04621;0,046263;0,092473
400;44,113843;;44,113843;44,160106;0,046263;;0,046263;-0,000169;-0,046432
403;44,160106;;44,160106;44,160106;0;;-0,000169;-0,0124;-0,012231
404;44,160106;;44,160106;44,160275;0,000169;;-0,0124;0,012569;0,024969
405;44,160275;;44,160275;44,172844;0,012569;;0,012569;-7,4E-05;-0,012643
406;44,172844;;44,172844;44,172844;0;;-7,4E-05;-0,000126;-5,2E-05
407;44,172844;;44,172844;44,172918;7,4E-05;;-0,000126;0,0002;0,000326
408;44,172918;;44,172918;44,173118;0,0002;;0,0002;0;-0,0002
409;44,173118;;44,173118;44,173118;0;;0;0;0
410;44,173118;;44,173118;44,173118;0;;0;0;0
411;44,173118;;44,173118;44,173118;0;;0;0;0
412;44,173118;;44,173118;44,173118;0;;0;0;0
416;44,173118;;44,173118;44,173118;0;;0;0;0
417;44,173118;;44,173118;44,173118;0;;0;0;0
418;44,173118;;44,173118;44,173118;0;;0;0;0
419;44,173118;;44,173118;44,173118;0;;0;0;0
420;44,173118;;44,173118;44,173118;0;;0;0;0
421;44,173118;;44,173118;44,173118;0;;0;-0,000125;-0,000125
422;44,173118;;44,173118;44,173118;0;;-0,000125;-3,6E-05;8,9E-05
423;44,173118;;44,173118;44,173243;0,000125;;-3,6E-05;-0,00171;-0,001674
424;44,173243;;44,173243;44,173404;0,000161;;-0,00171;-0,039867;-0,038157
425;44,173404;;44,173404;44,175275;0,001871;;-0,039867;0,041738;0,081605
426;44,175275;;44,175275;44,217013;0,041738;;0,041738;0;-0,041738
430;44,217013;;44,217013;44,217013;0;;0;-9,3E-05;-9,3E-05
431;44,217013;;44,217013;44,217013;0;;-9,3E-05;-9,5E-05;-2E-06
432;44,217013;;44,217013;44,217106;9,3E-05;;-9,5E-05;0,000188;0,000283
433;44,217106;;44,217106;44,217294;0,000188;;0,000188;0;-0,000188
434;44,217294;;44,217294;44,217294;0;;0;0;0
435;44,217294;;44,217294;44,217294;0;;0;0;0
437;44,217294;;44,217294;44,217294;0;;0;0;0
438;44,217294;;44,217294;44,217294;0;;0;0;0
439;44,217294;;44,217294;44,217294;0;;0;0;0
440;44,217294;;44,217294;44,217294;0;;0;-7,4E-05;-7,4E-05
441;44,217294;;44,217294;44,217294;0;;-7,4E-05;-4,7E-05;2,7E-05
442;44,217294;;44,217294;44,217368;7,4E-05;;-4,7E-05;3,7E-05;8,4E-05
443;44,217368;;44,217368;44,217489;0,000121;;3,7E-05;-0,042654;-0,042691
444;44,217489;;44,217489;44,217573;8,4E-05;;-0,042654;0,042738;0,085392
445;44,217573;;44,217573;44,260311;0,042738;;0,042738;-0,000209;-0,042947
446;44,260311;;44,260311;44,260311;0;;-0,000209;-0,016003;-0,015794
447;44,260311;;44,260311;44,26052;0,000209;;-0,016003;0,016212;0,032215
448;44,26052;;44,26052;44,276732;0,016212;;0,016212;-7,1E-05;-0,016283
449;44,276732;;44,276732;44,276732;0;;-7,1E-05;-0,036611;-0,03654
450;44,276732;;44,276732;44,276803;7,1E-05;;-0,036611;0,036682;0,073293
451;44,276803;;44,276803;44,313485;0,036682;;0,036682;0;-0,036682
452;44,313485;;44,313485;44,313485;0;;0;0;0
453;44,313485;;44,313485;44,313485;0;;0;0;0
454;44,313485;;44,313485;44,313485;0;;0;0;0
455;44,313485;;44,313485;44,313485;0;;0;-0,000108;-0,000108
456;44,313485;;44,313485;44,313485;0;;-0,000108;-1E-06;0,000107
457;44,313485;;44,313485;44,313593;0,000108;;-1E-06;0,000109;0,00011
458;44,313593;;44,313593;44,313702;0,000109;;0,000109;-3,8E-05;-0,000147
459;44,313702;;44,313702;44,313702;0;;-3,8E-05;-0,000582;-0,000544
460;44,313702;;44,313702;44,31374;3,8E-05;;-0,000582;-0,017557;-0,016975
461;44,31374;;44,31374;44,31436;0,00062;;-0,017557;0,017665;0,035222
462;44,31436;;44,31436;44,332537;0,018177;;0,017665;-0,035227;-0,052892
463;44,332537;;44,332537;44,333049;0,000512;;-0,035227;0,035739;0,070966
464;44,333049;;44,333049;44,368788;0,035739;;0,035739;-0,00013;-0,035869
465;44,368788;;44,368788;44,368788;0;;-0,00013;-0,000514;-0,000384
466;44,368788;;44,368788;44,368918;0,00013;;-0,000514;0,000582;0,001096
467;44,368918;;44,368918;44,369562;0,000644;;0,000582;-0,000405;-0,000987
468;44,369562;;44,369562;44,369624;6,2E-05;;-0,000405;0,000467;0,000872
